method,seed,iteration,activity,best_so_far,regret
bayesian_optimization,4,33,83.96,90.1,6.9
bayesian_optimization,4,34,81.06,90.1,6.9
bayesian_optimization,4,35,81.75,90.1,6.9
bayesian_optimization,4,36,90.3,90.3,6.7
bayesian_optimization,4,37,80.41,90.3,6.7
bayesian_optimization,4,38,83.1,90.3,6.7
bayesian_optimization,4,39,81.68,90.3,6.7
bayesian_optimization,4,40,79.08,90.3,6.7
bayesian_optimization,4,41,81.19,90.3,6.7
bayesian_optimization,4,42,86.56,90.3,6.7
bayesian_optimization,4,43,81.01,90.3,6.7
bayesian_optimization,4,44,82.31,90.3,6.7
bayesian_optimization,4,45,79.9,90.3,6.7
bayesian_optimization,4,46,81.81,90.3,6.7
bayesian_optimization,4,47,84.27,90.3,6.7
bayesian_optimization,4,48,87.94,90.3,6.7
bayesian_optimization,4,49,84.63,90.3,6.7
bayesian_optimization,4,50,85.72,90.3,6.7
random_search,5,1,16.88,16.88,80.12
random_search,5,2,2.58,16.88,80.12
random_search,5,3,23.78,23.78,73.22
random_search,5,4,40.18,40.18,56.82
random_search,5,5,25.06,40.18,56.82
random_search,5,6,13.76,40.18,56.82
random_search,5,7,25.33,40.18,56.82
random_search,5,8,32.69,40.18,56.82
random_search,5,9,34.94,40.18,56.82
random_search,5,10,16.54,40.18,56.82
random_search,5,11,2.31,40.18,56.82
random_search,5,12,1.0,40.18,56.82
random_search,5,13,31.76,40.18,56.82
random_search,5,14,39.54,40.18,56.82
random_search,5,15,13.01,40.18,56.82
random_search,5,16,4.64,40.18,56.82
random_search,5,17,39.86,40.18,56.82
random_search,5,18,32.3,40.18,56.82
random_search,5,19,4.17,40.18,56.82
random_search,5,20,29.43,40.18,56.82
random_search,5,21,40.43,40.43,56.57
random_search,5,22,6.45,40.43,56.57
random_search,5,23,33.79,40.43,56.57
random_search,5,24,32.38,40.43,56.57
random_search,5,25,6.86,40.43,56.57
random_search,5,26,1.69,40.43,56.57
random_search,5,27,26.92,40.43,56.57
random_search,5,28,46.48,46.48,50.52
random_search,5,29,44.28,46.48,50.52
random_search,5,30,2.66,46.48,50.52
random_search,5,31,52.24,52.24,44.76
random_search,5,32,36.08,52.24,44.76
random_search,5,33,27.47,52.24,44.76
random_search,5,34,23.71,52.24,44.76
random_search,5,35,18.33,52.24,44.76
random_search,5,36,46.67,52.24,44.76
random_search,5,37,65.34,65.34,31.66
random_search,5,38,7.45,65.34,31.66
random_search,5,39,32.49,65.34,31.66
random_search,5,40,28.69,65.34,31.66
random_search,5,41,34.69,65.34,31.66
random_search,5,42,38.17,65.34,31.66
random_search,5,43,30.11,65.34,31.66
random_search,5,44,36.44,65.34,31.66
random_search,5,45,33.51,65.34,31.66
random_search,5,46,1.0,65.34,31.66
random_search,5,47,49.4,65.34,31.66
random_search,5,48,4.1,65.34,31.66
random_search,5,49,20.25,65.34,31.66
random_search,5,50,27.09,65.34,31.66
bayesian_optimization,5,1,1.0,1.0,96.0
bayesian_optimization,5,2,19.88,19.88,77.12
bayesian_optimization,5,3,7.3,19.88,77.12
bayesian_optimization,5,4,14.88,19.88,77.12
bayesian_optimization,5,5,19.49,19.88,77.12
bayesian_optimization,5,6,29.0,29.0,68.0
bayesian_optimization,5,7,8.31,29.0,68.0
bayesian_optimization,5,8,3.97,29.0,68.0
bayesian_optimization,5,9,35.07,35.07,61.93
bayesian_optimization,5,10,64.69,64.69,32.31
bayesian_optimization,5,11,36.34,64.69,32.31
bayesian_optimization,5,12,56.57,64.69,32.31
bayesian_optimization,5,13,35.2,64.69,32.31
bayesian_optimization,5,14,43.97,64.69,32.31
bayesian_optimization,5,15,54.95,64.69,32.31
bayesian_optimization,5,16,42.54,64.69,32.31
bayesian_optimization,5,17,77.49,77.49,19.51
bayesian_optimization,5,18,74.24,77.49,19.51
bayesian_optimization,5,19,73.3,77.49,19.51
bayesian_optimization,5,20,69.63,77.49,19.51
bayesian_optimization,5,21,27.31,77.49,19.51
bayesian_optimization,5,22,64.57,77.49,19.51
bayesian_optimization,5,23,73.44,77.49,19.51
bayesian_optimization,5,24,21.14,77.49,19.51
bayesian_optimization,5,25,76.92,77.49,19.51
bayesian_optimization,5,26,70.61,77.49,19.51
bayesian_optimization,5,27,80.35,80.35,16.65
bayesian_optimization,5,28,77.19,80.35,16.65
bayesian_optimization,5,29,82.5,82.5,14.5
bayesian_optimization,5,30,85.5,85.5,11.5
bayesian_optimization,5,31,80.8,85.5,11.5
bayesian_optimization,5,32,76.43,85.5,11.5
bayesian_optimization,5,33,82.3,85.5,11.5
bayesian_optimization,5,34,78.8,85.5,11.5
bayesian_optimization,5,35,80.05,85.5,11.5
bayesian_optimization,5,36,77.74,85.5,11.5
bayesian_optimization,5,37,78.49,85.5,11.5
bayesian_optimization,5,38,80.86,85.5,11.5
bayesian_optimization,5,39,74.51,85.5,11.5
bayesian_optimization,5,40,81.09,85.5,11.5
bayesian_optimization,5,41,75.26,85.5,11.5
bayesian_optimization,5,42,79.45,85.5,11.5
bayesian_optimization,5,43,74.36,85.5,11.5
bayesian_optimization,5,44,74.61,85.5,11.5
bayesian_optimization,5,45,78.18,85.5,11.5
bayesian_optimization,5,46,78.01,85.5,11.5
bayesian_optimization,5,47,76.66,85.5,11.5
bayesian_optimization,5,48,72.69,85.5,11.5
bayesian_optimization,5,49,77.14,85.5,11.5
bayesian_optimization,5,50,76.8,85.5,11.5
random_search,6,1,66.27,66.27,30.73
random_search,6,2,35.35,66.27,30.73
random_search,6,3,22.26,66.27,30.73
random_search,6,4,3.59,66.27,30.73
random_search,6,5,5.58,66.27,30.73
random_search,6,6,12.62,66.27,30.73
random_search,6,7,33.77,66.27,30.73
random_search,6,8,48.04,66.27,30.73
random_search,6,9,1.0,66.27,30.73
random_search,6,10,43.38,66.27,30.73
random_search,6,11,50.64,66.27,30.73
random_search,6,12,25.4,66.27,30.73
random_search,6,13,10.18,66.27,30.73
random_search,6,14,27.93,66.27,30.73
random_search,6,15,21.02,66.27,30.73
random_search,6,16,2.21,66.27,30.73
random_search,6,17,17.65,66.27,30.73
